"idsensore","tipologia","unit_dimisura","idstazione","nomestazione","quota","provincia","datastart","datastop","storico","cgb_nord","cgb_est","lng","lat","location"
"14159","Direzione Vento","°","140","Motta Visconti SMR","100","MI","2012-05-21T00:00:00.000","2020-08-25T00:00:00.000","S","5014273","499103","8.988562726793255","45.281956197427846","
,  
(45.281956197427846, 8.988562726793255)"
"14161","Radiazione Globale","W/m²","1202","Vercana","980","CO","2012-06-16T00:00:00.000",,"N","5114303","525058","9.324676976148888","46.18184257309385","
,  
(46.18184257309385, 9.324676976148888)"
"14165","Umidità Relativa","%","1219","Casalbuttano ed Uniti","56","CR","2012-10-09T00:00:00.000",,"N","5011836","575599","9.96349170050652","45.25595602117305","
,  
(45.25595602117305, 9.96349170050652)"
"14170","Livello Idrometrico","cm","1341","Bosisio Parini Imbarcadero","266","LC","2012-10-27T00:00:00.000",,"N","5072258","522295","9.28691508743616","45.803523458138656","
,  
(45.803523458138656, 9.28691508743616)"
"14171","Precipitazione","mm","1341","Bosisio Parini Imbarcadero","266","LC","2012-10-27T00:00:00.000",,"N","5072258","522295","9.28691508743616","45.803523458138656","
,  
(45.803523458138656, 9.28691508743616)"
"14178","Altezza Neve","cm","1342","Ponte in Valtellina Lago Reguzzo","2440","SO","2012-10-13T00:00:00.000",,"N","5105228","574978","9.969993307685913","46.09651166584453","
,  
(46.09651166584453, 9.969993307685913)"
"14180","Radiazione Globale","W/m²","1342","Ponte in Valtellina Lago Reguzzo","2440","SO","2012-10-13T00:00:00.000",,"N","5105228","574978","9.969993307685913","46.09651166584453","
,  
(46.09651166584453, 9.969993307685913)"
"14182","Direzione Vento","°","1342","Ponte in Valtellina Lago Reguzzo","2440","SO","2012-10-13T00:00:00.000",,"N","5105228","574978","9.969993307685913","46.09651166584453","
,  
(46.09651166584453, 9.969993307685913)"
"14186","Velocità Vento","m/s","1342","Ponte in Valtellina Lago Reguzzo","2440","SO","2012-10-13T00:00:00.000",,"N","5105228","574978","9.969993307685913","46.09651166584453","
,  
(46.09651166584453, 9.969993307685913)"
"14191","Umidità Relativa","%","1342","Ponte in Valtellina Lago Reguzzo","2440","SO","2012-10-13T00:00:00.000",,"N","5105228","574978","9.969993307685913","46.09651166584453","
,  
(46.09651166584453, 9.969993307685913)"
"14194","Temperatura","°C","1342","Ponte in Valtellina Lago Reguzzo","2440","SO","2012-10-13T00:00:00.000",,"N","5105228","574978","9.969993307685913","46.09651166584453","
,  
(46.09651166584453, 9.969993307685913)"
"14197","Precipitazione","mm","1342","Ponte in Valtellina Lago Reguzzo","2440","SO","2012-10-13T00:00:00.000",,"N","5105228","574978","9.969993307685913","46.09651166584453","
,  
(46.09651166584453, 9.969993307685913)"
"14205","Altezza Neve","cm","1343","Lanzada Passo Marinelli","3032","SO","2012-10-13T00:00:00.000",,"N","5133321","570414","9.915147774061634","46.34980205020121","
,  
(46.34980205020121, 9.915147774061634)"
"14207","Radiazione Globale","W/m²","1343","Lanzada Passo Marinelli","3032","SO","2012-10-13T00:00:00.000",,"N","5133321","570414","9.915147774061634","46.34980205020121","
,  
(46.34980205020121, 9.915147774061634)"
"14209","Direzione Vento","°","1343","Lanzada Passo Marinelli","3032","SO","2012-10-13T00:00:00.000",,"N","5133321","570414","9.915147774061634","46.34980205020121","
,  
(46.34980205020121, 9.915147774061634)"
"14213","Velocità Vento","m/s","1343","Lanzada Passo Marinelli","3032","SO","2012-10-13T00:00:00.000",,"N","5133321","570414","9.915147774061634","46.34980205020121","
,  
(46.34980205020121, 9.915147774061634)"
"14218","Umidità Relativa","%","1343","Lanzada Passo Marinelli","3032","SO","2012-10-13T00:00:00.000",,"N","5133321","570414","9.915147774061634","46.34980205020121","
,  
(46.34980205020121, 9.915147774061634)"
"14221","Temperatura","°C","1343","Lanzada Passo Marinelli","3032","SO","2012-10-13T00:00:00.000",,"N","5133321","570414","9.915147774061634","46.34980205020121","
,  
(46.34980205020121, 9.915147774061634)"
"14224","Precipitazione","mm","1343","Lanzada Passo Marinelli","3032","SO","2012-10-13T00:00:00.000",,"N","5133321","570414","9.915147774061634","46.34980205020121","
,  
(46.34980205020121, 9.915147774061634)"
"14229","Direzione Vento","°","1345","Piazzatorre","966","BG","2012-10-13T00:00:00.000",,"N","5093546","553689","9.693284786503215","45.99338358665828","
,  
(45.99338358665828, 9.693284786503215)"
"14234","Velocità Vento","m/s","1345","Piazzatorre","966","BG","2012-10-13T00:00:00.000",,"N","5093546","553689","9.693284786503215","45.99338358665828","
,  
(45.99338358665828, 9.693284786503215)"
"14238","Umidità Relativa","%","1345","Piazzatorre","966","BG","2012-10-13T00:00:00.000",,"N","5093546","553689","9.693284786503215","45.99338358665828","
,  
(45.99338358665828, 9.693284786503215)"
