Regione;Provincia;Comune;Codice Sito;Nome Sito;LONG;LAT;Year;Data;Ostreopsis cf. ovata cell/l;Ostreopsis cf. ovata cell/ g fw;Istatcode;Seaname
Abruzzo;Teramo;Martinsicuro;IT013067047007;25 m a sud del porticciolo;13.9207;42.8904;2020;2020-06-08;0;0;067047;Adriatic Sea
Abruzzo;Teramo;Martinsicuro;IT013067047007;25 m a sud del porticciolo;13.9207;42.8904;2020;2020-06-09;0;0;067047;Adriatic Sea
Abruzzo;Teramo;Martinsicuro;IT013067047007;25 m a sud del porticciolo;13.9207;42.8904;2020;2020-07-06;0;0;067047;Adriatic Sea
Abruzzo;Teramo;Martinsicuro;IT013067047007;25 m a sud del porticciolo;13.9207;42.8904;2020;2020-07-07;0;0;067047;Adriatic Sea
Abruzzo;Teramo;Martinsicuro;IT013067047007;25 m a sud del porticciolo;13.9207;42.8904;2020;2020-08-03;0;0;067047;Adriatic Sea
Abruzzo;Teramo;Martinsicuro;IT013067047007;25 m a sud del porticciolo;13.9207;42.8904;2020;2020-08-04;0;0;067047;Adriatic Sea
Abruzzo;Teramo;Martinsicuro;IT013067047007;25 m a sud del porticciolo;13.9207;42.8904;2020;2020-09-02;0;0;067047;Adriatic Sea
Abruzzo;Teramo;Martinsicuro;IT013067047007;25 m a sud del porticciolo;13.9207;42.8904;2020;2020-09-03;0;0;067047;Adriatic Sea
Abruzzo;Teramo;Alba Adriatica;IT013067001001;Zona antistante Via Sardegna;13.9362;42.8266;2020;2020-06-08;0;0;067001;Adriatic Sea
Abruzzo;Teramo;Alba Adriatica;IT013067001001;Zona antistante Via Sardegna;13.9362;42.8266;2020;2020-06-09;0;0;067001;Adriatic Sea
Abruzzo;Teramo;Alba Adriatica;IT013067001001;Zona antistante Via Sardegna;13.9362;42.8266;2020;2020-07-06;0;0;067001;Adriatic Sea
Abruzzo;Teramo;Alba Adriatica;IT013067001001;Zona antistante Via Sardegna;13.9362;42.8266;2020;2020-07-07;0;0;067001;Adriatic Sea
Abruzzo;Teramo;Alba Adriatica;IT013067001001;Zona antistante Via Sardegna;13.9362;42.8266;2020;2020-08-03;0;0;067001;Adriatic Sea
Abruzzo;Teramo;Alba Adriatica;IT013067001001;Zona antistante Via Sardegna;13.9362;42.8266;2020;2020-08-04;0;0;067001;Adriatic Sea
Abruzzo;Teramo;Alba Adriatica;IT013067001001;Zona antistante Via Sardegna;13.9362;42.8266;2020;2020-09-02;0;0;067001;Adriatic Sea
Abruzzo;Teramo;Alba Adriatica;IT013067001001;Zona antistante Via Sardegna;13.9362;42.8266;2020;2020-09-03;0;0;067001;Adriatic Sea
Abruzzo;Teramo;Tortoreto;IT013067044003;Zona antistante Via Trieste;13.9445;42.8041;2020;2020-06-08;0;0;067044;Adriatic Sea
Abruzzo;Teramo;Tortoreto;IT013067044003;Zona antistante Via Trieste;13.9445;42.8041;2020;2020-06-09;0;0;067044;Adriatic Sea
Abruzzo;Teramo;Tortoreto;IT013067044003;Zona antistante Via Trieste;13.9445;42.8041;2020;2020-07-06;0;0;067044;Adriatic Sea
Abruzzo;Teramo;Tortoreto;IT013067044003;Zona antistante Via Trieste;13.9445;42.8041;2020;2020-07-07;0;0;067044;Adriatic Sea
Abruzzo;Teramo;Tortoreto;IT013067044003;Zona antistante Via Trieste;13.9445;42.8041;2020;2020-08-03;0;0;067044;Adriatic Sea
Abruzzo;Teramo;Tortoreto;IT013067044003;Zona antistante Via Trieste;13.9445;42.8041;2020;2020-08-04;0;0;067044;Adriatic Sea
Abruzzo;Teramo;Tortoreto;IT013067044003;Zona antistante Via Trieste;13.9445;42.8041;2020;2020-09-02;0;0;067044;Adriatic Sea
Abruzzo;Teramo;Tortoreto;IT013067044003;Zona antistante Via Trieste;13.9445;42.8041;2020;2020-09-03;0;0;067044;Adriatic Sea
Abruzzo;Teramo;Giulianova;IT013067025003;Zona antistante Lung.re Spalato, 80;13.9757;42.7485;2020;2020-06-08;0;0;067025;Adriatic Sea
Abruzzo;Teramo;Giulianova;IT013067025003;Zona antistante Lung.re Spalato, 80;13.9757;42.7485;2020;2020-06-09;0;0;067025;Adriatic Sea
Abruzzo;Teramo;Giulianova;IT013067025003;Zona antistante Lung.re Spalato, 80;13.9757;42.7485;2020;2020-07-06;0;0;067025;Adriatic Sea
Abruzzo;Teramo;Giulianova;IT013067025003;Zona antistante Lung.re Spalato, 80;13.9757;42.7485;2020;2020-07-07;0;0;067025;Adriatic Sea
Abruzzo;Teramo;Giulianova;IT013067025003;Zona antistante Lung.re Spalato, 80;13.9757;42.7485;2020;2020-08-03;0;0;067025;Adriatic Sea
Abruzzo;Teramo;Giulianova;IT013067025003;Zona antistante Lung.re Spalato, 80;13.9757;42.7485;2020;2020-08-04;0;0;067025;Adriatic Sea
Abruzzo;Teramo;Giulianova;IT013067025003;Zona antistante Lung.re Spalato, 80;13.9757;42.7485;2020;2020-09-02;0;0;067025;Adriatic Sea
Abruzzo;Teramo;Giulianova;IT013067025003;Zona antistante Lung.re Spalato, 80;13.9757;42.7485;2020;2020-09-03;0;0;067025;Adriatic Sea
Abruzzo;Teramo;Roseto degli Abruzzi;IT013067037006;Zona antistante Via Claudio;14.0259;42.6676;2020;2020-06-08;0;0;067037;Adriatic Sea
Abruzzo;Teramo;Roseto degli Abruzzi;IT013067037006;Zona antistante Via Claudio;14.0259;42.6676;2020;2020-06-09;0;0;067037;Adriatic Sea
Abruzzo;Teramo;Roseto degli Abruzzi;IT013067037006;Zona antistante Via Claudio;14.0259;42.6676;2020;2020-07-06;0;0;067037;Adriatic Sea
Abruzzo;Teramo;Roseto degli Abruzzi;IT013067037006;Zona antistante Via Claudio;14.0259;42.6676;2020;2020-07-07;0;0;067037;Adriatic Sea
Abruzzo;Teramo;Roseto degli Abruzzi;IT013067037006;Zona antistante Via Claudio;14.0259;42.6676;2020;2020-08-03;0;0;067037;Adriatic Sea
Abruzzo;Teramo;Roseto degli Abruzzi;IT013067037006;Zona antistante Via Claudio;14.0259;42.6676;2020;2020-08-04;0;0;067037;Adriatic Sea
Abruzzo;Teramo;Roseto degli Abruzzi;IT013067037006;Zona antistante Via Claudio;14.0259;42.6676;2020;2020-09-02;0;0;067037;Adriatic Sea
Abruzzo;Teramo;Roseto degli Abruzzi;IT013067037006;Zona antistante Via Claudio;14.0259;42.6676;2020;2020-09-03;0;0;067037;Adriatic Sea
Abruzzo;Teramo;Pineto;IT013067035005;Zona antistante Torre di Cerrano;14.0905;42.5852;2020;2020-06-08;0;0;067035;Adriatic Sea
Abruzzo;Teramo;Pineto;IT013067035005;Zona antistante Torre di Cerrano;14.0905;42.5852;2020;2020-06-09;0;0;067035;Adriatic Sea
Abruzzo;Teramo;Pineto;IT013067035005;Zona antistante Torre di Cerrano;14.0905;42.5852;2020;2020-07-06;0;0;067035;Adriatic Sea
Abruzzo;Teramo;Pineto;IT013067035005;Zona antistante Torre di Cerrano;14.0905;42.5852;2020;2020-07-07;0;0;067035;Adriatic Sea
Abruzzo;Teramo;Pineto;IT013067035005;Zona antistante Torre di Cerrano;14.0905;42.5852;2020;2020-08-03;0;0;067035;Adriatic Sea
Abruzzo;Teramo;Pineto;IT013067035005;Zona antistante Torre di Cerrano;14.0905;42.5852;2020;2020-08-04;0;0;067035;Adriatic Sea
Abruzzo;Teramo;Pineto;IT013067035005;Zona antistante Torre di Cerrano;14.0905;42.5852;2020;2020-09-02;0;0;067035;Adriatic Sea
Abruzzo;Teramo;Pineto;IT013067035005;Zona antistante Torre di Cerrano;14.0905;42.5852;2020;2020-09-03;0;0;067035;Adriatic Sea
Abruzzo;Teramo;Silvi;IT013067040004;Zona antistante V.le C.Colombo, 14;14.1366;42.5387;2020;2020-06-08;0;0;067040;Adriatic Sea
Abruzzo;Teramo;Silvi;IT013067040004;Zona antistante V.le C.Colombo, 14;14.1366;42.5387;2020;2020-06-09;0;0;067040;Adriatic Sea
Abruzzo;Teramo;Silvi;IT013067040004;Zona antistante V.le C.Colombo, 14;14.1366;42.5387;2020;2020-07-06;0;0;067040;Adriatic Sea
Abruzzo;Teramo;Silvi;IT013067040004;Zona antistante V.le C.Colombo, 14;14.1366;42.5387;2020;2020-07-07;0;0;067040;Adriatic Sea
Abruzzo;Teramo;Silvi;IT013067040004;Zona antistante V.le C.Colombo, 14;14.1366;42.5387;2020;2020-08-03;0;0;067040;Adriatic Sea
