ANNO,PROVINCIA,GENERE,FASCIA D'ETA',COORDINATA X,COORDINATA Y,POPOLAZIONE,% POPOLAZIONE,POSIZIONE
2016,BRESCIA,M,0-17,10.18167955,45.51939749,115892,9.167909311330941,"(45.51939749, 10.18167955)"
2017,REGIONE LOMBARDIA,F,80 e +,,,432269,4.314420980748298,
2015,LECCO,M,65-79,9.388156645,45.85028614,25010,7.350455986903786,"(45.85028614, 9.388156645)"
2012,LODI,F,0-17,9.510140481,45.31535435,18635,8.331880228383387,"(45.31535435, 9.510140481)"
2012,MONZA E DELLA BRIANZA,ALL,40-64,9.258430902,45.5823624,307796,36.626770971419326,"(45.5823624, 9.258430902)"
2012,COMO,F,65-79,9.039360974,45.80216962,46403,7.907872425634166,"(45.80216962, 9.039360974)"
2014,LECCO,ALL,18-39,9.388156645,45.85028614,84187,24.701743472979395,"(45.85028614, 9.388156645)"
2013,MONZA E DELLA BRIANZA,M,80 e +,9.258430902,45.5823624,15422,1.812894094634435,"(45.5823624, 9.258430902)"
2014,MANTOVA,M,65-79,10.77086348,45.14135331,29370,7.074602490202266,"(45.14135331, 10.77086348)"
2016,SONDRIO,F,65-79,9.879429303,46.1707552,14957,8.231156995685481,"(46.1707552, 9.879429303)"
2014,COMO,ALL,65-79,9.039360974,45.80216962,90124,15.050516858435897,"(45.80216962, 9.039360974)"
2016,MANTOVA,F,18-39,10.77086348,45.14135331,47823,11.5831209975101,"(45.14135331, 10.77086348)"
2012,REGIONE LOMBARDIA,ALL,18-39,,,2535780,26.13968772526949,
2013,ITALIA,F,80 e +,,,2441953,4.091385963900246,
2013,CREMONA,F,ALL,10.0131151,45.13644491,184727,51.056073319845666,"(45.13644491, 10.0131151)"
2015,LODI,ALL,ALL,9.510140481,45.31535435,229576,2.295159815708192,"(45.31535435, 9.510140481)"
2015,VARESE,ALL,ALL,8.80650544,45.80041256,890234,8.90001264669289,"(45.80041256, 8.80650544)"
2012,ITALIA,M,ALL,,,28726599,48.36599468362293,
