ANNO,PROVINCIA,GENERE,FASCIA D'ETA',COORDINATA X,COORDINATA Y,POPOLAZIONE,% POPOLAZIONE,POSIZIONE
2016,MANTOVA,ALL,ALL,10.77086348,45.14135331,412868,4.125235840596686,"(45.14135331, 10.77086348)"
2013,BRESCIA,M,40-64,10.18167955,45.51939749,225703,18.096892860120974,"(45.51939749, 10.18167955)"
2012,REGIONE LOMBARDIA,F,40-64,,,1764693,18.191059141948035,
2015,COMO,ALL,ALL,9.039360974,45.80216962,599905,5.99748165854629,"(45.80216962, 9.039360974)"
2013,CREMONA,M,40-64,10.0131151,45.13644491,66660,18.423932871214884,"(45.13644491, 10.0131151)"
2013,MONZA E DELLA BRIANZA,ALL,80 e +,9.258430902,45.5823624,45548,5.354279614992171,"(45.5823624, 9.258430902)"
2015,MONZA E DELLA BRIANZA,M,ALL,9.258430902,45.5823624,422740,48.896718203658054,"(45.5823624, 9.258430902)"
2013,BERGAMO,F,ALL,9.63853045,45.68012929,553480,50.589454710976156,"(45.68012929, 9.63853045)"
2013,MILANO,ALL,40-64,9.18951,45.46427,1122173,36.49244589495633,"(45.46427, 9.18951)"
2015,BRESCIA,F,18-39,10.18167955,45.51939749,158068,12.494733522149245,"(45.51939749, 10.18167955)"
2014,PAVIA,F,ALL,9.14034225,45.18407925,282268,51.47813526989419,"(45.18407925, 9.14034225)"
2013,MONZA E DELLA BRIANZA,ALL,40-64,9.258430902,45.5823624,313189,36.81613854263158,"(45.5823624, 9.258430902)"
2014,BERGAMO,ALL,40-64,9.63853045,45.68012929,404303,36.50785910942434,"(45.68012929, 9.63853045)"
2014,BRESCIA,ALL,ALL,10.18167955,45.51939749,1262295,12.65662040726946,"(45.51939749, 10.18167955)"
2015,ITALIA,F,40-64,,,11251255,18.506689265666083,
2015,MILANO,F,ALL,9.18951,45.46427,1651704,51.667013364822914,"(45.46427, 9.18951)"
2014,MANTOVA,M,18-39,10.77086348,45.14135331,53155,12.803898378164844,"(45.14135331, 10.77086348)"
2014,MONZA E DELLA BRIANZA,M,65-79,9.258430902,45.5823624,59915,6.945185027194199,"(45.5823624, 9.258430902)"
2014,MILANO,M,18-39,9.18951,45.46427,388347,12.226857419919526,"(45.46427, 9.18951)"
2012,BERGAMO,ALL,80 e +,9.63853045,45.68012929,53553,4.927177543265648,"(45.68012929, 9.63853045)"
2016,COMO,F,65-79,9.039360974,45.80216962,49472,8.250090885744113,"(45.80216962, 9.039360974)"
2013,MANTOVA,M,0-17,10.77086348,45.14135331,35002,8.509365845357191,"(45.14135331, 10.77086348)"
2016,MILANO,ALL,18-39,9.18951,45.46427,778233,24.255284931412067,"(45.46427, 9.18951)"
2014,REGIONE LOMBARDIA,M,ALL,,,4866278,48.792582908310976,
2015,VARESE,F,65-79,8.80650544,45.80041256,76710,8.616835573568297,"(45.80041256, 8.80650544)"
2012,VARESE,ALL,80 e +,8.80650544,45.80041256,51739,5.937906703973447,"(45.80041256, 8.80650544)"
2013,VARESE,F,18-39,8.80650544,45.80041256,110032,12.54698047801496,"(45.80041256, 8.80650544)"
2015,LODI,M,80 e +,9.510140481,45.31535435,4281,1.8647419590898,"(45.31535435, 9.510140481)"
2016,MONZA E DELLA BRIANZA,F,18-39,9.258430902,45.5823624,101535,11.723566984883544,"(45.5823624, 9.258430902)"
2015,BERGAMO,F,40-64,9.63853045,45.68012929,200378,18.070745175420004,"(45.68012929, 9.63853045)"
2013,MANTOVA,F,ALL,10.77086348,45.14135331,210652,51.211786013833006,"(45.14135331, 10.77086348)"
2016,MONZA E DELLA BRIANZA,ALL,0-17,9.258430902,45.5823624,148826,17.183942286820095,"(45.5823624, 9.258430902)"
2013,LECCO,M,80 e +,9.388156645,45.85028614,6541,1.932776833862746,"(45.85028614, 9.388156645)"
2013,REGIONE LOMBARDIA,F,ALL,,,5029628,51.35142337173063,
2014,CREMONA,F,80 e +,10.0131151,45.13644491,16890,4.663929243029648,"(45.13644491, 10.0131151)"
2017,MONZA E DELLA BRIANZA,M,65-79,9.258430902,45.5823624,62279,7.167906415195101,"(45.5823624, 9.258430902)"
2012,SONDRIO,F,18-39,9.879429303,46.1707552,22768,12.595288937078875,"(46.1707552, 9.879429303)"
2017,BRESCIA,ALL,18-39,10.18167955,45.51939749,306823,24.299385908363018,"(45.51939749, 10.18167955)"
2017,BRESCIA,ALL,65-79,10.18167955,45.51939749,188394,14.920193430154004,"(45.51939749, 10.18167955)"
