lago,punto,codice_comune,zero_idrometrico,altezza,unit_di_misura_altezza,zero_idrometrico_unit_di_misura,periodo,anno,zero_idrometrico_unit_di_misura_testuale
LAGO D'IDRO,,,,367.6,m,mslm,2019-09-15,2019,metri sul livello del mare
LAGO D'IDRO,,,,367.64,m,mslm,2019-09-16,2019,metri sul livello del mare
LAGO D'IDRO,,,,367.63,m,mslm,2019-09-17,2019,metri sul livello del mare
LAGO D'IDRO,,,,367.65,m,mslm,2019-09-18,2019,metri sul livello del mare
LAGO D'IDRO,,,,367.68,m,mslm,2019-09-19,2019,metri sul livello del mare
LAGO D'IDRO,,,,367.68,m,mslm,2019-09-20,2019,metri sul livello del mare
LAGO D'IDRO,,,,367.62,m,mslm,2019-09-21,2019,metri sul livello del mare
LAGO D'IDRO,,,,367.58,m,mslm,2019-09-22,2019,metri sul livello del mare
LAGO D'IDRO,,,,367.59,m,mslm,2019-09-23,2019,metri sul livello del mare
LAGO D'IDRO,,,,367.55,m,mslm,2019-09-24,2019,metri sul livello del mare
LAGO D'IDRO,,,,367.49,m,mslm,2019-09-25,2019,metri sul livello del mare
LAGO D'IDRO,,,,367.46,m,mslm,2019-09-26,2019,metri sul livello del mare
LAGO D'IDRO,,,,367.5,m,mslm,2019-09-27,2019,metri sul livello del mare
LAGO D'IDRO,,,,367.48,m,mslm,2019-09-28,2019,metri sul livello del mare
LAGO D'IDRO,,,,367.45,m,mslm,2019-09-29,2019,metri sul livello del mare
LAGO D'IDRO,,,,367.46,m,mslm,2019-09-30,2019,metri sul livello del mare
LAGO D'IDRO,,,,367.48,m,mslm,2019-10-01,2019,metri sul livello del mare
LAGO D'IDRO,,,,367.52,m,mslm,2019-10-02,2019,metri sul livello del mare
LAGO D'IDRO,,,,367.51,m,mslm,2019-10-03,2019,metri sul livello del mare
LAGO D'IDRO,,,,367.56,m,mslm,2019-10-04,2019,metri sul livello del mare
LAGO D'IDRO,,,,367.53,m,mslm,2019-10-05,2019,metri sul livello del mare
LAGO D'IDRO,,,,367.5,m,mslm,2019-10-06,2019,metri sul livello del mare
LAGO D'IDRO,,,,367.53,m,mslm,2019-10-07,2019,metri sul livello del mare
LAGO D'IDRO,,,,367.56,m,mslm,2019-10-08,2019,metri sul livello del mare
LAGO D'IDRO,,,,367.57,m,mslm,2019-10-09,2019,metri sul livello del mare
LAGO D'IDRO,,,,367.56,m,mslm,2019-10-10,2019,metri sul livello del mare
LAGO D'IDRO,,,,367.59,m,mslm,2019-10-11,2019,metri sul livello del mare
LAGO D'IDRO,,,,367.56,m,mslm,2019-10-12,2019,metri sul livello del mare
LAGO D'IDRO,,,,367.54,m,mslm,2019-10-13,2019,metri sul livello del mare
LAGO D'IDRO,,,,367.57,m,mslm,2019-10-14,2019,metri sul livello del mare
LAGO D'IDRO,,,,367.62,m,mslm,2019-10-15,2019,metri sul livello del mare
LAGO D'IDRO,,,,367.63,m,mslm,2019-10-16,2019,metri sul livello del mare
LAGO D'IDRO,,,,367.61,m,mslm,2019-10-17,2019,metri sul livello del mare
LAGO D'IDRO,,,,367.61,m,mslm,2019-10-18,2019,metri sul livello del mare
LAGO D'IDRO,,,,367.62,m,mslm,2019-10-19,2019,metri sul livello del mare
LAGO D'IDRO,,,,367.62,m,mslm,2019-10-20,2019,metri sul livello del mare
LAGO D'IDRO,,,,367.78,m,mslm,2019-10-21,2019,metri sul livello del mare
LAGO D'IDRO,,,,367.88,m,mslm,2019-10-22,2019,metri sul livello del mare
LAGO D'IDRO,,,,367.89,m,mslm,2019-10-23,2019,metri sul livello del mare
LAGO D'IDRO,,,,367.88,m,mslm,2019-10-24,2019,metri sul livello del mare
LAGO D'IDRO,,,,367.86,m,mslm,2019-10-25,2019,metri sul livello del mare
LAGO D'IDRO,,,,367.8,m,mslm,2019-10-26,2019,metri sul livello del mare
LAGO D'IDRO,,,,367.72,m,mslm,2019-10-27,2019,metri sul livello del mare
LAGO D'IDRO,,,,367.69,m,mslm,2019-10-28,2019,metri sul livello del mare
LAGO D'IDRO,,,,367.64,m,mslm,2019-10-29,2019,metri sul livello del mare
LAGO D'IDRO,,,,367.63,m,mslm,2019-10-30,2019,metri sul livello del mare
LAGO D'IDRO,,,,367.65,m,mslm,2019-10-31,2019,metri sul livello del mare
LAGO D'IDRO,,,,367.62,m,mslm,2019-11-01,2019,metri sul livello del mare
LAGO D'IDRO,,,,367.56,m,mslm,2019-11-02,2019,metri sul livello del mare
LAGO D'IDRO,,,,367.9,m,mslm,2019-11-03,2019,metri sul livello del mare
LAGO D'IDRO,,,,368.18,m,mslm,2019-11-04,2019,metri sul livello del mare
LAGO D'IDRO,,,,368.33,m,mslm,2019-11-05,2019,metri sul livello del mare
LAGO D'IDRO,,,,368.39,m,mslm,2019-11-06,2019,metri sul livello del mare
LAGO D'IDRO,,,,368.34,m,mslm,2019-11-07,2019,metri sul livello del mare
LAGO D'IDRO,,,,368.42,m,mslm,2019-11-08,2019,metri sul livello del mare
LAGO D'IDRO,,,,368.37,m,mslm,2019-11-09,2019,metri sul livello del mare
LAGO D'IDRO,,,,368.27,m,mslm,2019-11-10,2019,metri sul livello del mare
LAGO D'IDRO,,,,368.3,m,mslm,2019-11-11,2019,metri sul livello del mare
LAGO D'IDRO,,,,368.42,m,mslm,2019-11-12,2019,metri sul livello del mare
LAGO D'IDRO,,,,368.45,m,mslm,2019-11-13,2019,metri sul livello del mare
LAGO D'IDRO,,,,368.35,m,mslm,2019-11-14,2019,metri sul livello del mare
LAGO D'IDRO,,,,368.44,m,mslm,2019-11-15,2019,metri sul livello del mare
LAGO D'IDRO,,,,368.23,m,mslm,2019-11-16,2019,metri sul livello del mare
LAGO D'IDRO,,,,368.32,m,mslm,2019-11-17,2019,metri sul livello del mare
LAGO D'IDRO,,,,368.3,m,mslm,2019-11-18,2019,metri sul livello del mare
LAGO D'IDRO,,,,368.28,m,mslm,2019-11-19,2019,metri sul livello del mare
LAGO D'IDRO,,,,368.13,m,mslm,2019-11-20,2019,metri sul livello del mare
LAGO D'IDRO,,,,368.12,m,mslm,2019-11-21,2019,metri sul livello del mare
LAGO D'IDRO,,,,368.19,m,mslm,2019-11-22,2019,metri sul livello del mare
LAGO D'IDRO,,,,368.33,m,mslm,2019-11-23,2019,metri sul livello del mare
LAGO D'IDRO,,,,368.39,m,mslm,2019-11-24,2019,metri sul livello del mare
LAGO D'IDRO,,,,368.17,m,mslm,2019-11-25,2019,metri sul livello del mare
LAGO D'IDRO,,,,368.17,m,mslm,2019-11-26,2019,metri sul livello del mare
LAGO D'IDRO,,,,368.35,m,mslm,2019-11-27,2019,metri sul livello del mare
LAGO D'IDRO,,,,368.42,m,mslm,2019-11-28,2019,metri sul livello del mare
LAGO D'IDRO,,,,368.37,m,mslm,2019-11-29,2019,metri sul livello del mare
LAGO D'IDRO,,,,368.29,m,mslm,2019-11-30,2019,metri sul livello del mare
LAGO D'IDRO,,,,368.23,m,mslm,2019-12-01,2019,metri sul livello del mare
LAGO D'IDRO,,,,368.26,m,mslm,2019-12-02,2019,metri sul livello del mare
LAGO D'IDRO,,,,368.27,m,mslm,2019-12-03,2019,metri sul livello del mare
LAGO D'IDRO,,,,368.27,m,mslm,2019-12-04,2019,metri sul livello del mare
LAGO D'IDRO,,,,368.25,m,mslm,2019-12-05,2019,metri sul livello del mare
LAGO D'IDRO,,,,368.21,m,mslm,2019-12-06,2019,metri sul livello del mare
LAGO D'IDRO,,,,368.18,m,mslm,2019-12-07,2019,metri sul livello del mare
LAGO D'IDRO,,,,368.12,m,mslm,2019-12-08,2019,metri sul livello del mare
LAGO D'IDRO,,,,368.06,m,mslm,2019-12-09,2019,metri sul livello del mare
LAGO D'IDRO,,,,367.99,m,mslm,2019-12-10,2019,metri sul livello del mare
LAGO D'IDRO,,,,367.93,m,mslm,2019-12-11,2019,metri sul livello del mare
LAGO D'IDRO,,,,367.91,m,mslm,2019-12-12,2019,metri sul livello del mare
LAGO D'IDRO,,,,367.87,m,mslm,2019-12-13,2019,metri sul livello del mare
LAGO D'IDRO,,,,367.85,m,mslm,2019-12-14,2019,metri sul livello del mare
LAGO D'IDRO,,,,367.8,m,mslm,2019-12-15,2019,metri sul livello del mare
LAGO D'IDRO,,,,367.77,m,mslm,2019-12-16,2019,metri sul livello del mare
LAGO D'IDRO,,,,367.73,m,mslm,2019-12-17,2019,metri sul livello del mare
LAGO D'IDRO,,,,367.74,m,mslm,2019-12-18,2019,metri sul livello del mare
LAGO D'IDRO,,,,367.77,m,mslm,2019-12-19,2019,metri sul livello del mare
LAGO D'IDRO,,,,367.83,m,mslm,2019-12-20,2019,metri sul livello del mare
LAGO D'IDRO,,,,368.13,m,mslm,2019-12-21,2019,metri sul livello del mare
LAGO D'IDRO,,,,368.33,m,mslm,2019-12-22,2019,metri sul livello del mare
LAGO D'IDRO,,,,368.36,m,mslm,2019-12-23,2019,metri sul livello del mare
LAGO D'IDRO,,,,368.4,m,mslm,2019-12-24,2019,metri sul livello del mare
LAGO D'IDRO,,,,368.39,m,mslm,2019-12-25,2019,metri sul livello del mare
LAGO D'IDRO,,,,368.36,m,mslm,2019-12-26,2019,metri sul livello del mare
LAGO D'IDRO,,,,368.35,m,mslm,2019-12-27,2019,metri sul livello del mare
LAGO D'IDRO,,,,368.3,m,mslm,2019-12-28,2019,metri sul livello del mare
LAGO D'IDRO,,,,368.25,m,mslm,2019-12-29,2019,metri sul livello del mare
LAGO D'IDRO,,,,368.21,m,mslm,2019-12-30,2019,metri sul livello del mare
LAGO D'IDRO,,,,368.15,m,mslm,2019-12-31,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.12,cm,mslm,2019-01-01,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.13,cm,mslm,2019-01-02,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.12,cm,mslm,2019-01-03,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.1,cm,mslm,2019-01-04,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.11,cm,mslm,2019-01-05,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.1,cm,mslm,2019-01-06,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.11,cm,mslm,2019-01-07,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.11,cm,mslm,2019-01-08,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.11,cm,mslm,2019-01-09,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.09,cm,mslm,2019-01-10,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.1,cm,mslm,2019-01-11,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.1,cm,mslm,2019-01-12,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.1,cm,mslm,2019-01-13,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.09,cm,mslm,2019-01-14,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.09,cm,mslm,2019-01-15,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.08,cm,mslm,2019-01-16,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.09,cm,mslm,2019-01-17,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.09,cm,mslm,2019-01-18,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.09,cm,mslm,2019-01-19,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.09,cm,mslm,2019-01-20,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.09,cm,mslm,2019-01-21,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.09,cm,mslm,2019-01-22,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.09,cm,mslm,2019-01-23,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.09,cm,mslm,2019-01-24,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.09,cm,mslm,2019-01-25,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.08,cm,mslm,2019-01-26,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.09,cm,mslm,2019-01-27,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.09,cm,mslm,2019-01-28,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.09,cm,mslm,2019-01-29,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.09,cm,mslm,2019-01-30,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.09,cm,mslm,2019-01-31,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.11,cm,mslm,2019-02-01,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.16,cm,mslm,2019-02-02,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.17,cm,mslm,2019-02-03,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.17,cm,mslm,2019-02-04,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.16,cm,mslm,2019-02-05,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.17,cm,mslm,2019-02-06,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.17,cm,mslm,2019-02-07,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.17,cm,mslm,2019-02-08,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.17,cm,mslm,2019-02-09,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.19,cm,mslm,2019-02-10,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.19,cm,mslm,2019-02-11,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.19,cm,mslm,2019-02-12,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.18,cm,mslm,2019-02-13,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.19,cm,mslm,2019-02-14,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.22,cm,mslm,2019-02-15,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.2,cm,mslm,2019-02-16,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.21,cm,mslm,2019-02-17,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.19,cm,mslm,2019-02-18,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.19,cm,mslm,2019-02-19,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.19,cm,mslm,2019-02-20,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.19,cm,mslm,2019-02-21,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.21,cm,mslm,2019-02-22,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.21,cm,mslm,2019-02-23,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.19,cm,mslm,2019-02-24,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.2,cm,mslm,2019-02-25,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.21,cm,mslm,2019-02-26,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.22,cm,mslm,2019-02-27,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.22,cm,mslm,2019-02-28,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.22,cm,mslm,2019-03-01,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.23,cm,mslm,2019-03-02,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.22,cm,mslm,2019-03-03,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.23,cm,mslm,2019-03-04,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.23,cm,mslm,2019-03-05,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.22,cm,mslm,2019-03-06,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.23,cm,mslm,2019-03-07,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.23,cm,mslm,2019-03-08,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.22,cm,mslm,2019-03-09,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.24,cm,mslm,2019-03-10,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.24,cm,mslm,2019-03-11,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.23,cm,mslm,2019-03-12,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.24,cm,mslm,2019-03-13,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.23,cm,mslm,2019-03-14,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.24,cm,mslm,2019-03-15,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.24,cm,mslm,2019-03-16,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.24,cm,mslm,2019-03-17,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.26,cm,mslm,2019-03-18,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.26,cm,mslm,2019-03-19,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.26,cm,mslm,2019-03-20,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.26,cm,mslm,2019-03-21,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.26,cm,mslm,2019-03-22,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.25,cm,mslm,2019-03-23,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.26,cm,mslm,2019-03-24,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.28,cm,mslm,2019-03-25,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.26,cm,mslm,2019-03-26,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.26,cm,mslm,2019-03-27,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.26,cm,mslm,2019-03-28,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.26,cm,mslm,2019-03-29,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.26,cm,mslm,2019-03-30,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.25,cm,mslm,2019-03-31,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.25,cm,mslm,2019-04-01,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.24,cm,mslm,2019-04-02,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.25,cm,mslm,2019-04-03,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.3,cm,mslm,2019-04-04,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.33,cm,mslm,2019-04-05,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.33,cm,mslm,2019-04-06,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.32,cm,mslm,2019-04-07,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.32,cm,mslm,2019-04-08,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.3,cm,mslm,2019-04-09,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.31,cm,mslm,2019-04-10,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.34,cm,mslm,2019-04-11,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.34,cm,mslm,2019-04-12,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.34,cm,mslm,2019-04-13,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.34,cm,mslm,2019-04-14,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.34,cm,mslm,2019-04-15,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.34,cm,mslm,2019-04-16,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.35,cm,mslm,2019-04-17,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.35,cm,mslm,2019-04-18,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.35,cm,mslm,2019-04-19,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.35,cm,mslm,2019-04-20,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.35,cm,mslm,2019-04-21,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.36,cm,mslm,2019-04-22,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.37,cm,mslm,2019-04-23,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.38,cm,mslm,2019-04-24,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.38,cm,mslm,2019-04-25,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.4,cm,mslm,2019-04-26,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.38,cm,mslm,2019-04-27,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.38,cm,mslm,2019-04-28,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.37,cm,mslm,2019-04-29,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.36,cm,mslm,2019-04-30,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.35,cm,mslm,2019-05-01,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.35,cm,mslm,2019-05-02,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.36,cm,mslm,2019-05-03,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.38,cm,mslm,2019-05-04,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.38,cm,mslm,2019-05-05,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.36,cm,mslm,2019-05-06,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.34,cm,mslm,2019-05-07,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.33,cm,mslm,2019-05-08,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.32,cm,mslm,2019-05-09,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.31,cm,mslm,2019-05-10,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.26,cm,mslm,2019-05-11,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.34,cm,mslm,2019-05-12,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.28,cm,mslm,2019-05-13,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.28,cm,mslm,2019-05-14,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.27,cm,mslm,2019-05-15,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.27,cm,mslm,2019-05-16,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.27,cm,mslm,2019-05-17,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.25,cm,mslm,2019-05-18,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.27,cm,mslm,2019-05-19,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.27,cm,mslm,2019-05-20,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.28,cm,mslm,2019-05-21,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.28,cm,mslm,2019-05-22,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.29,cm,mslm,2019-05-23,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.29,cm,mslm,2019-05-24,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.31,cm,mslm,2019-05-25,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.31,cm,mslm,2019-05-26,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.31,cm,mslm,2019-05-27,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.33,cm,mslm,2019-05-28,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.32,cm,mslm,2019-05-29,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.32,cm,mslm,2019-05-30,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.32,cm,mslm,2019-05-31,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.31,cm,mslm,2019-06-01,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.3,cm,mslm,2019-06-02,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.3,cm,mslm,2019-06-03,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.3,cm,mslm,2019-06-04,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.32,cm,mslm,2019-06-05,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.32,cm,mslm,2019-06-06,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.33,cm,mslm,2019-06-07,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.32,cm,mslm,2019-06-08,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.33,cm,mslm,2019-06-09,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.32,cm,mslm,2019-06-10,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.31,cm,mslm,2019-06-11,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.32,cm,mslm,2019-06-12,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.32,cm,mslm,2019-06-13,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.34,cm,mslm,2019-06-14,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.31,cm,mslm,2019-06-15,2019,metri sul livello del mare
